PRODUTO;CONSTITUINTE
4249;63
9246;130
55;313
6406;324
7011;117
13009;287
13289;109
7915;143
3431;266
1705;246
5252;103
4972;10
1619;189
706;190
10347;55
4025;230
99;170
932;130
8085;124
9877;81
10037;253
2046;135
12445;146
2501;58
11955;16
8163;269
13203;1
10531;82
9498;201
13500;135
2307;195
3980;281
8004;48
4473;54
5925;104
5029;168
2015;198
12354;92
7528;95
7472;34
12662;93
4224;301
13984;213
10614;228
7163;225
10604;197
5375;156
7116;101
8103;127
952;124
9036;49
13542;299
5697;197
12748;164
6174;51
3440;165
4060;259
11134;255
3482;181
12179;323
8536;145
12050;119
7855;105
5889;146
5212;219
5950;254
7850;25
5795;210
8268;97
13516;115
12253;313
5995;118
9558;230
10525;263
11111;294
3479;269
6122;278
14205;268
5450;172
9825;175
1227;41
14196;163
6441;115
4216;95
9140;232
1595;193
4405;324
31;8
7734;244
8121;45
3406;148
430;134
69;91
10300;320
14107;82
2365;86
7461;95
8136;156
241;290
9688;12
8555;167
3554;102
322;30
7558;51
618;207
5347;99
9278;267
8187;102
784;293
9608;140
13504;205
13042;264
6301;279
4828;9
1331;205
7581;143
8280;259
12604;73
7353;25
5998;213
11886;259
1200;318
4049;218
160;214
3472;105
12474;68
2891;285
1429;65
4761;233
8584;284
8451;263
2895;94
4745;290
4670;187
11758;270
839;6
12408;150
3704;98
6554;147
5353;309
5726;124
3702;290
9941;96
9424;57
8747;189
3516;87
7121;231
11283;1
8722;208
10884;43
13410;252
3685;24
8998;217
5621;246
1470;180
1680;171
9455;281
5777;89
13863;200
4987;169
1036;269
9922;277
3055;218
6978;84
13290;316
8833;57
124;194
7564;124
7064;248
7822;296
10216;4
5493;121
2450;21
10067;110
8553;177
5160;58
2934;319
8305;278
4324;132
3032;123
7068;156
5416;201
2586;108
14010;186
12643;33
1585;70
8651;239
6921;68
10141;108
13408;177
3367;148
9275;116
4560;285
614;133
6942;51
9627;276
7150;210
5178;190
1545;189
5837;175
3493;245
3956;311
6270;317
7786;31
13669;274
10166;147
9163;15
3677;113
8131;194
11354;159
9277;191
13215;23
13297;44
13868;309
13090;319
11040;62
12742;322
2716;319
2768;225
9865;267
8557;14
5685;122
1501;294
6916;195
11487;192
9846;262
4838;229
11365;194
6112;40
5939;305
7430;249
4374;50
6623;98
14096;216
13508;258
5380;245
812;308
1365;172
2051;210
10652;249
9795;314
7887;97
5434;174
5033;97
2893;10
8223;324
12321;283
4532;221
1553;229
4328;94
1102;219
7294;64
10051;298
4075;36
13132;324
7145;97
10138;242
3226;284
6884;158
1053;30
10126;194
9343;196
7881;68
6469;87
481;106
10016;122
5228;38
2084;132
13908;101
6140;297
10729;226
11263;264
3101;111
11427;167
2065;152
11341;58
1638;237
9463;140
13221;48
11983;292
12514;59
7566;207
10146;38
13422;77
13321;117
7200;88
2130;132
6343;55
2579;63
5361;161
6296;203
3761;112
12545;178
13024;146
4234;316
7245;320
4675;164
5502;285
8651;143
3910;79
13004;48
133;228
358;106
5880;59
1589;190
745;111
6511;79
12324;128
7364;106
