PRODUTO;CONSTITUINTE
13472;177
6960;19
6993;32
10531;283
5258;303
6722;175
12557;120
5363;267
3303;63
11392;160
1064;312
8846;54
5070;94
12148;157
4188;254
13738;60
10697;1
14151;196
3351;163
7932;123
7655;305
1383;273
6475;125
11271;317
3580;291
8427;113
4179;90
12776;274
14226;306
217;98
9027;196
10839;53
10028;25
13618;218
5079;23
5647;270
13730;125
10575;316
9251;235
2668;150
9052;221
2203;11
5797;277
4786;165
3064;278
10294;4
3308;302
2159;274
5314;133
525;294
4931;224
8530;98
5223;236
584;226
740;129
9013;8
1899;226
10301;315
6348;32
1241;324
1835;159
519;149
9980;144
1672;289
12009;24
3623;64
1399;228
6530;98
669;67
9227;220
5492;123
3902;318
4451;125
9678;149
1549;60
5525;319
12171;92
8074;222
3708;44
12036;250
5051;129
5213;203
10401;147
4056;171
6782;319
2377;12
10324;223
253;303
6206;241
13451;261
3763;83
9896;49
4422;62
13081;214
14225;159
10790;140
5896;300
13780;59
13995;65
6856;128
10742;11
7055;316
11178;63
10202;18
1503;71
7803;83
2555;78
4130;38
11388;210
13375;299
3382;191
4932;185
11522;198
8163;124
10717;300
7501;198
8341;200
207;255
12687;10
7300;123
5478;253
12191;285
10794;11
2646;22
13761;75
13603;65
11644;145
1630;288
7726;6
10008;270
5147;145
2666;230
1493;304
11127;126
5362;82
1923;158
2717;164
9119;146
5189;206
11512;243
7397;187
10420;279
12165;54
1410;217
14040;68
10563;74
6639;315
3759;117
9442;133
10395;9
4722;152
3826;299
4998;44
10445;66
6948;206
2366;277
10868;122
9652;146
5472;209
3935;21
4607;48
12839;254
12033;33
1893;273
1375;43
14256;158
715;293
12797;210
3429;131
12364;200
1569;19
4715;286
11262;121
326;245
12636;19
2438;251
206;165
1254;22
6544;140
5467;279
14168;14
13401;195
1517;228
544;174
6287;98
7822;59
1440;306
11092;163
2799;257
1231;85
13165;103
12577;200
2530;135
12092;91
8338;228
10987;205
1884;102
848;206
14249;98
11997;139
11405;28
4432;59
13231;289
3265;23
13861;199
8518;33
2508;37
7792;317
1286;233
13581;139
10123;151
13864;277
9079;239
4072;98
4545;157
11692;219
13880;60
10219;99
3558;213
10789;202
66;314
5349;149
5921;125
5784;92
13237;225
1665;166
5488;313
6428;301
12757;86
9777;245
12322;314
3747;48
12039;219
11408;324
4602;231
11679;102
13682;142
331;41
10013;101
9131;151
10380;77
2350;62
2294;318
4583;104
8172;199
1768;99
3951;204
1160;27
12930;259
6646;89
12024;298
5217;180
2688;95
2411;270
2300;200
4964;152
8300;201
3871;112
4720;167
279;91
6123;236
1146;227
7348;106
4047;120
5806;250
10851;258
4163;231
11620;247
3334;34
7465;38
14239;137
11953;11
7338;11
3847;25
726;242
9397;235
3286;257
1495;129
10296;254
7076;284
1384;186
4330;265
5521;264
13171;65
8887;188
3774;264
4115;143
8066;251
805;31
3991;288
3616;106
3820;61
9038;280
12638;88
11195;69
255;119
11025;70
5454;181
8841;115
9234;226
9412;278
1984;249
3911;135
5792;245
13017;284
1937;278
519;256
2959;310
10322;38
6743;218
7630;272
1826;170
4092;229
2319;85
624;141
12424;148
1048;101
7655;53
4245;195
11450;219
3251;53
12717;58
7678;68
8482;154
9789;298
2029;160
446;167
6312;313
2757;321
864;173
8178;252
9962;174
4667;256
338;65
2651;60
2542;80
4393;69
11284;127
184;161
3330;16
9909;231
4824;115
13622;181
9229;108
13757;270
7396;217
8310;261
3578;174
5978;80
10133;138
11832;69
4321;182
12011;39
13504;117
10112;295
3433;66
7238;54
12717;155
14152;192
4528;28
426;250
11093;306
12513;215
9965;202
10158;68
8146;19
1635;43
2530;218
11826;101
10247;130
2474;87
13490;204
11042;156
7048;219
1934;225
501;44
6375;287
9986;251
3089;38
1056;95
10222;268
13634;246
8149;106
11250;242
255;286
12427;272
1765;216
12780;190
14019;267
10983;83
896;14
8463;138
8937;194
2395;148
706;116
4072;112
8202;141
3098;227
9669;90
13395;131
11179;58
807;261
3220;68
2553;141
3536;95
3543;85
11233;94
10381;46
8448;72
3005;125
10127;258
777;227
2051;302
13258;320
6070;90
5819;298
9590;150
3198;1
13511;2
9327;179
14196;263
6636;55
1017;269
10733;248
10385;99
10440;252
10909;144
4301;310
1795;317
1883;174
5077;63
2693;288
1326;111
9742;195
12948;5
9668;268
13852;57
8349;192
8135;284
3773;105
7817;43
12144;263
4792;21
8820;106
8821;39
5879;275
11055;159
12009;252
13256;179
12009;9
13775;227
1935;121
3819;163
10004;27
4925;289
6898;293
10361;76
10708;279
1510;196
4500;94
9559;168
1592;249
2307;9
9336;319
8259;120
6762;255
537;286
3796;308
10730;298
7316;275
2059;147
3145;74
7714;83
3246;170
