PRODUTO;NOME_GENERICO;NOME_MEDICAMENTO;QUANTIDADE;FAIXA_ETARIA;REG_INFARMED;AREA_TERAPEUTICA;LOTE;Dosagem;TEMPERATURA;PRECO;ADMINISTRACAO;RECEITA;GENERICO;FORMATO
10001;Paracetamol + Mepiramina + Cafeina;Antigrippine;6;10;496334904;8;;250 mg + 20 mg + 30 mg;3;88,00;2;0;0;41
10002;Paracetamol + Propifenazona + Cafeina;Saridon-N;6;3;4289931;3;;250 mg + 150 mg + 50 mg;1;51,00;2;0;0;41
10003;Paracetamol + Pseudoefedrina;Panadol Sinus;6;2;956380438;14;;500 mg + 30 mg;5;69,00;2;0;0;56
10004;Paracetamol + Pseudoefedrina;Sinutab II;11;3;4393187;10;;500 mg + 30 mg;5;61,00;2;0;0;41
10005;Paracetamol + Tiocolquicosido;Adalgur N;6;2;816266224;3;;500 mg + 2 mg;2;89,00;2;0;0;41
10006;Paracetamol + acido ascorbico;Paramolan C;14;8;968107036;11;;500 mg + 250 mg;7;18,00;10;0;0;157
10007;Parafina liquida;Parafinina;7;9;440459628;18;;144.275 ml;3;18,00;6;0;0;180
10008;Parecoxib;Dynastat;9;10;924095448;18;;20 mg;6;28,00;7;0;0;137
10009;Parecoxib;Dynastat;8;11;316343258;7;;40 mg;7;79,00;7;0;0;137
10010;Parecoxib;Dynastat;13;10;954960908;7;;20 mg;0;117,00;8;0;0;155
10011;Parecoxib;Dynastat;1;1;849344099;18;;40 mg;4;137,00;13;0;0;155
10012;Paricalcitol;Zemplar;6;9;761882739;4;;1 µg;4;12,00;2;0;0;32
10013;Paricalcitol;Zemplar;6;6;554083839;18;;2 µg;5;140,00;2;0;0;32
10014;Paricalcitol;Zemplar;12;4;267589533;12;;4 µg;0;124,00;2;0;0;32
10015;Paricalcitol;Zemplar;6;0;311557576;8;;2 µg/ml;5;7,00;13;0;0;177
10016;Paricalcitol;Zemplar;12;3;346092691;10;;5 µg/ml;3;15,00;9;0;0;177
10017;Parnaparina sodica;Fluxum;15;5;643652545;5;;3200 U.I. anti-Xa/0.3 ml;7;54,00;5;0;0;177
10018;Parnaparina sodica;Fluxum;11;6;489335617;10;;4250 U.I. anti-Xa/0.4 ml;0;103,00;4;0;0;177
10019;Parnaparina sodica;Fluxum;4;11;288065464;14;;6400 U.I. anti-Xa/0.6 ml;0;69,00;6;0;0;177
10020;Parnaparina sodica;Tromboparin;13;8;771379486;20;;3200 U.I. anti-Xa/0.3 ml;5;69,00;9;0;0;177
10021;Parnaparina sodica;Tromboparin;13;4;610702111;11;;4250 U.I. anti-Xa/0.4 ml;3;39,00;3;0;0;177
10022;Parnaparina sodica;Tromboparin;8;10;686079591;12;;6400 U.I. anti-Xa/0.6 ml;7;61,00;5;0;0;177
10023;Paroxetina;Denerval;12;9;957371704;17;;20 mg;2;133,00;2;0;0;56
10024;Paroxetina;Dropax;12;8;1828682;19;;10 mg/ml;3;3,00;9;0;0;103
10025;Paroxetina;Paroxetina Actavis;4;3;622792858;4;;20 mg;1;38,00;2;1;1;56
10026;Paroxetina;Paroxetina Almus;8;10;654674316;12;;20 mg;0;147,00;2;1;1;56
10027;Paroxetina;Paroxetina Alter;13;3;503733594;2;;20 mg;0;65,00;2;1;1;56
10028;Paroxetina;Paroxetina Angenerico 20 mg Comprimidos Revestidos Por Pelicula;5;2;322724554;17;;20 mg;5;14,00;2;1;1;56
10029;Paroxetina;Paroxetina Arrowblue;14;2;146709577;2;;20 mg;2;71,00;2;1;1;56
10030;Paroxetina;Paroxetina Aurobindo;4;7;201970908;19;;20 mg;0;111,00;2;1;1;56
10031;Paroxetina;Paroxetina Aurobindo;11;7;199268728;2;;30 mg;3;141,00;2;0;0;56
10032;Paroxetina;Paroxetina Azevedos;12;6;911593285;14;;20 mg;2;28,00;2;1;1;56
10033;Paroxetina;Paroxetina Bluepharma 20 mg Comprimidos Revestidos;15;4;367152368;6;;20 mg;2;93,00;2;1;1;56
10034;Paroxetina;Paroxetina Ciclum 20 mg Comprimidos;3;1;586475691;19;;20 mg;6;9,00;2;1;1;56
10035;Paroxetina;Paroxetina Cinfa;1;3;465219681;15;;20 mg;7;22,00;2;1;1;56
10036;Paroxetina;Paroxetina Farmoz 20 mg Comprimidos Revestidos;5;8;796788880;14;;20 mg;2;120,00;2;1;1;56
10037;Paroxetina;Paroxetina GP;4;0;456211663;10;;20 mg;7;125,00;2;1;1;41
10038;Paroxetina;Paroxetina Genedec 20 mg Comprimidos;4;3;716228952;0;;20 mg;1;119,00;2;1;1;56
10039;Paroxetina;Paroxetina Generis;4;11;816437161;15;;10 mg;1;15,00;2;1;1;41
10040;Paroxetina;Paroxetina Generis;13;9;534780712;3;;30 mg;2;103,00;2;1;1;41
10041;Paroxetina;Paroxetina Generis 20 mg Comprimidos Revestidos;11;2;263559238;7;;20 mg;6;47,00;2;1;1;56
10042;Paroxetina;Paroxetina Germed 20 mg Comprimidos Revestidos;14;7;460981274;18;;20 mg;5;63,00;2;1;1;56
10043;Paroxetina;Paroxetina Jaba 20 mg Comprimidos revestidos;13;10;154771674;17;;20 mg;7;69,00;2;1;1;56
10044;Paroxetina;Paroxetina Labesfal;15;10;756042436;6;;20 mg;6;107,00;2;1;1;56
10045;Paroxetina;Paroxetina Mepha 20 mg Comprimidos Revestidos;15;7;859445353;20;;20 mg;5;85,00;2;1;1;56
10046;Paroxetina;Paroxetina Mesiproc;6;10;78671719;3;;20 mg;5;21,00;2;1;1;41
10047;Paroxetina;Paroxetina Mylan;6;6;304622499;16;;20 mg;2;38,00;2;1;1;56
10048;Paroxetina;Paroxetina Parke-Davis;13;7;24367443;10;;20 mg;7;58,00;2;1;1;56
10049;Paroxetina;Paroxetina Paxpar;11;6;571214151;15;;20 mg;5;78,00;2;1;1;56
10050;Paroxetina;Paroxetina Pharmakern 20 mg Comprimidos revestidos;6;0;400542666;19;;20 mg;7;79,00;2;1;1;56
10051;Paroxetina;Paroxetina Ranbaxy 20 mg Comprimidos;13;2;628228331;2;;20 mg;0;58,00;2;1;1;56
10052;Paroxetina;Paroxetina Ratiopharm 20 mg Comprimidos;1;3;583167517;1;;20 mg;2;117,00;2;1;1;56
10053;Paroxetina;Paroxetina Ritlemi;10;7;522302310;2;;10 mg;6;25,00;2;1;1;41
10054;Paroxetina;Paroxetina Ritlemi;14;0;408597313;4;;20 mg;6;43,00;2;1;1;41
10055;Paroxetina;Paroxetina Ritlemi;15;8;152874462;7;;30 mg;7;69,00;2;1;1;41
10056;Paroxetina;Paroxetina Sandoz;13;11;922162686;11;;20 mg;4;145,00;2;1;1;56
10057;Paroxetina;Paroxetina Tecnimede 20 mg Comprimidos Revestidos;13;3;570166523;15;;20 mg;4;51,00;2;1;1;56
10058;Paroxetina;Paroxetina Tedec;3;6;318718281;6;;10 mg;0;110,00;2;1;1;41
10059;Paroxetina;Paroxetina Tedec;10;2;201571916;2;;20 mg;2;26,00;2;1;1;41
10060;Paroxetina;Paroxetina Tedec;7;0;289438844;19;;30 mg;6;150,00;2;0;0;41
10061;Paroxetina;Paroxetina Tedec;8;4;177061267;19;;40 mg;3;104,00;2;0;0;41
10062;Paroxetina;Paroxetina Teva;15;10;618302232;5;;20 mg;5;41,00;2;1;1;56
10063;Paroxetina;Paroxetina Winthrop 20 mg Comprimidos revestidos;14;4;748392401;17;;20 mg;0;25,00;2;1;1;56
10064;Paroxetina;Paroxetina Wynn;7;7;60459204;18;;20 mg;1;75,00;2;1;1;41
10065;Paroxetina;Paroxetina toLife 20 mg Comprimidos;5;9;894470846;19;;20 mg;7;18,00;2;1;1;56
10066;Paroxetina;Paxetil;5;6;471967876;7;;20 mg;2;100,00;2;0;0;56
